message,custom,label_class,idiom,sentences_clean
A phone number is required for clearance or delivery. We're working to obtain this information. / This package was abandoned by both the sender and receiver.,No,exception,English,phone number is required for clearance or delivery. We are working to obtain this information. This package was abandoned by both the sender and receiver.
A required security check has delayed delivery.,No,exception,English,required security check has delayed delivery.
A required security check has delayed delivery. / The package will be returned to the sender.,No,exception,English,required security check has delayed delivery. The package will be returned to the sender.
"A UPS My Choice® delivery change was requested for this package. / As requested, the UPS My Choice® package will be delivered to the customer's preferred UPS Access Point? location.",No,transit,English,"ups my choice delivery change was requested for this package. As requested, the ups my choice package will be delivered to the customer's preferred ups access point location."
A UPS My Choice® delivery change was requested for this package. / We've rescheduled this delivery.,No,transit,English,ups my choice delivery change was requested for this package. We have rescheduled this delivery.
A UPS My Choice® delivery change was requested for this package. / Your package will be delivered to an alternate address.,No,transit,English,ups my choice delivery change was requested for this package. Your package will be delivered to an alternate address.
"A valid ID # (tax, personal, deferment) required for clearance is missing. We're working to obtain this information. / Brokerage released the package. It will be processed through a clearing agency before final release to UPS.",No,exception,English,"valid id number tax, personal, deferment required for clearance is missing. We are working to obtain this information. Brokerage released the package. It will be processed through clearing agency before final release to ups."
"A valid ID # (tax, personal, deferment) required for clearance is missing. We're working to obtain this information. / The package is at the clearing agency awaiting final release.",No,exception,English,"valid id number tax, personal, deferment required for clearance is missing. We are working to obtain this information. The package is at the clearing agency awaiting final release."
"A valid ID # (tax, personal, deferment) required for clearance is missing. We're working to obtain this information. / We'll contact the sender or receiver about this delivery.",No,exception,English,"valid id number tax, personal, deferment required for clearance is missing. We are working to obtain this information. We will contact the sender or receiver about this delivery."
"A valid ID # (tax, personal, deferment) required for clearance is missing. We're working to obtain this information. / We've contacted the receiver.",No,exception,English,"valid id number tax, personal, deferment required for clearance is missing. We are working to obtain this information. We have contacted the receiver."
"A valid ID # (tax, personal, deferment) required for clearance is missing. We're working to obtain this information. / Your package was released by the clearing agency.",No,transit,English,"valid id number tax, personal, deferment required for clearance is missing. We are working to obtain this information. Your package was released by the clearing agency."
"A valid ID # (tax, personal, deferment) required for clearance is missing. We&#39;re working to obtain this information.",No,exception,English,"valid id number tax, personal, deferment required for clearance is missing. We are working to obtain this information."
Acceptance,No,transit,English,Acceptance
Acceptance by the Post Services,No,transit,English,Acceptance by the post services
"Accepted,The package has been left at the Post Office or in its country of origin.",No,transit,English,"Accepted, the package has been left at the post office or in its country of origin."
Additional documentation is required for clearance. We're working to obtain this information. / Brokerage released the package. It will be processed through a clearing agency before final release to UPS.,No,transit,English,Additional documentation is required for clearance. We are working to obtain this information. Brokerage released the package. It will be processed through clearing agency before final release to ups.
Additional documentation is required for clearance. We're working to obtain this information. / Delivery will be rescheduled.,No,exception,English,Additional documentation is required for clearance. We are working to obtain this information. Delivery will be rescheduled.
Additional documentation is required for clearance. We're working to obtain this information. / The package will be returned to the sender.,No,exception,English,Additional documentation is required for clearance. We are working to obtain this information. The package will be returned to the sender.
Additional documentation is required for clearance. We're working to obtain this information. / This package was abandoned by both the sender and receiver.,No,exception,English,Additional documentation is required for clearance. We are working to obtain this information. This package was abandoned by both the sender and receiver.
Additional documentation is required for clearance. We're working to obtain this information. / We'll contact the sender or receiver about this delivery.,No,exception,English,Additional documentation is required for clearance. We are working to obtain this information. We will contact the sender or receiver about this delivery.
Additional documentation is required for clearance. We're working to obtain this information. / We've contacted the receiver to request additional information.,No,exception,English,Additional documentation is required for clearance. We are working to obtain this information. We have contacted the receiver to request additional information.
Additional documentation is required for clearance. We're working to obtain this information. / Your package was released by the clearing agency.,No,transit,English,Additional documentation is required for clearance. We are working to obtain this information. Your package was released by the clearing agency.
Additional documentation is required for clearance. We&#39;re working to obtain this information.,No,exception,English,Additional documentation is required for clearance. We are working to obtain this information.
Additional documentation is required on the merchandise description.,No,exception,English,Additional documentation is required on the merchandise description.
Additional documentation is required on the merchandise description. / Brokerage released the package. It will be processed through a clearing agency before final release to UPS.,No,transit,English,Additional documentation is required on the merchandise description. Brokerage released the package. It will be processed through clearing agency before final release to ups.
Additional documentation is required on the merchandise description. / The package is at the clearing agency awaiting final release.,No,exception,English,Additional documentation is required on the merchandise description. The package is at the clearing agency awaiting final release.
Additional documentation is required on the merchandise description. / The package will be returned to the sender.,No,exception,English,Additional documentation is required on the merchandise description. The package will be returned to the sender.
Additional documentation is required on the merchandise description. / We require a phone number for the delivery address.,No,exception,English,Additional documentation is required on the merchandise description. We require phone number for the delivery address.
Additional documentation is required on the merchandise description. / Your package was released by the clearing agency.,No,transit,English,Additional documentation is required on the merchandise description. Your package was released by the clearing agency.
Additional information is required. Your package is pending release from a government agency other than customs. / The package will be returned to the sender.,No,exception,English,Additional information is required. Your package is pending release from government agency other than customs. The package will be returned to the sender.
Address corrected ,No,transit,English,Address corrected
Address discrepancy resolved. Delivery at first opportunity,No,transit,English,Address discrepancy resolved. Delivery at first opportunity
Address information has been obtained and the shipment is now in transit.,No,transit,English,Address information has been obtained and the shipment is now in transit.
Address information needed; contact DHL,No,exception,English,Address information needed contact dhl
Address query. We'll follow this up with the receiver or contact the sender if necessary.,No,exception,English,Address query. We will follow this up with the receiver or contact the sender if necessary.
Allocated to delivery staff ,No,out for delivery,English,Allocated to delivery staff
An adult signature is required to complete this delivery. UPS will make a second attempt. / We'll contact the sender or receiver about this delivery.,No,exception,English,An adult signature is required to complete this delivery. Ups will make second attempt. We will contact the sender or receiver about this delivery.
An adult signature is required to complete this delivery. UPS will make a second attempt. / Your delivery has been rescheduled for the next business day.,No,exception,English,An adult signature is required to complete this delivery. Ups will make second attempt. Your delivery has been rescheduled for the next business day.
An emergency situation or severe weather condition has delayed delivery until the next business day.,No,exception,English,An emergency situation or severe weather condition has delayed delivery until the next business day.
An emergency situation or severe weather condition has delayed delivery.,No,exception,English,An emergency situation or severe weather condition has delayed delivery.
An emergency situation or severe weather condition has delayed delivery. / Delivery will be rescheduled.,No,exception,English,An emergency situation or severe weather condition has delayed delivery. Delivery will be rescheduled.
An emergency situation or severe weather condition has delayed delivery. / The package will be returned to the sender.,No,exception,English,An emergency situation or severe weather condition has delayed delivery. The package will be returned to the sender.
ARRIVAL SCAN,No,transit,English,Arrival scan
Arrived at Delivery Facility in  ZWICKAU - GERMANY,No,transit,English,"Arrived at delivery facility in zwickau, germany"
Arrived at FedEx location ,No,transit,English,Arrived at fedex location
Arrived at Hub,No,transit,English,Arrived at hub
Arrived at Regional Facility,No,transit,English,Arrived at regional facility
Arrived at Sort Facility  AALESUND - NORWAY,No,transit,English,"Arrived at sort facility aalesund, norway"
Arrived at Sort Facility  ZURICH - SWITZERLAND,No,transit,English,"Arrived at sort facility zurich, switzerland"
"Arrived at the customs of Russia,102972, Marushkinskoye",No,transit,English,"Arrived at the customs of russia, marushkinskoye"
"Arrived at the local distribution center,460980, Orenburg",No,transit,English,"Arrived at the local distribution center, orenburg"
"Arrived at the Post office,Netherlands",No,transit,English,"Arrived at the post office, netherlands"
"Arrived at the Post office,Portugal",No,transit,English,"Arrived at the post office, portugal"
"Arrived at transit facility,460981, Orenburg",No,transit,English,"Arrived at transit facility, orenburg"
Arrived at Unit,No,transit,English,Arrived at unit
"Arrived at Unit, Your item arrived at the Post Office at 1:50 am on March 11, 2019 in SAINT CLOUD, FL 34769.",No,transit,English,"Arrived at unit, your item arrived at the post office at am on march , in saint cloud, fl."
"Arrived at Unit, Your item arrived at the Post Office at 10:31 am on February 18, 2019 in TULSA, OK 74136.",No,transit,English,"Arrived at unit, your item arrived at the post office at am on february , in tulsa, ok."
Arrived at USPS Facility,No,transit,English,Arrived at usps facility
"Arrived at USPS Facility,Your item arrived at our USPS facility in FORT WAYNE, IN 46809 on December 27, 2018 at 12:45 pm. The item is currently in transit to the destination.",No,transit,English,"Arrived at usps facility, your item arrived at our usps facility in fort wayne, in on december , at pm. The item is currently in transit to the destination."
Arrived at USPS Regional Destination Facility,No,transit,English,Arrived at usps regional destination facility
Arrived at USPS Regional Facility,No,transit,English,Arrived at usps regional facility
"Arrived at USPS Regional Facility, Your item arrived at our USPS facility in QUEENS NY DISTRIBUTION CENTER on August 26, 2019 at 1:16 pm. The item is currently in transit to the destination.",No,transit,English,"Arrived at usps regional facility, your item arrived at our usps facility in queens ny distribution center on august , at pm. The item is currently in transit to the destination."
"Arrived at USPS Regional Facility,Your item arrived at our USPS facility in FORT WAYNE IN DISTRIBUTION CENTER on December 27, 2018 at 7:31 am. The item is currently in transit to the destination.",No,transit,English,"Arrived at usps regional facility, your item arrived at our usps facility in fort wayne in distribution center on december , at am. The item is currently in transit to the destination."
"As per the receiver's request, the package will be delivered to the selected UPS Access Point™.",No,transit,English,"As per the receiver's request, the package will be delivered to the selected ups access point."
"As requested by the receiver, the delivery date has been rescheduled.",No,transit,English,"As requested by the receiver, the delivery date has been rescheduled."
"As requested by the receiver, we have updated the address.",No,transit,English,"As requested by the receiver, we have updated the address."
"As requested by the receiver, we'll hold the package, and contact them for instruction before submitting for clearance.",No,exception,English,"As requested by the receiver, we will hold the package, and contact them for instruction before submitting for clearance."
"As requested by the receiver, we'll hold the package, and contact them for instruction before submitting for clearance. / Brokerage released the package. It will be processed through a clearing agency before final release to UPS.",No,transit,English,"As requested by the receiver, we will hold the package, and contact them for instruction before submitting for clearance. Brokerage released the package. It will be processed through clearing agency before final release to ups."
"As requested by the receiver, we'll hold the package, and contact them for instruction before submitting for clearance. / This package was abandoned by both the sender and receiver.",No,exception,English,"As requested by the receiver, we will hold the package, and contact them for instruction before submitting for clearance. This package was abandoned by both the sender and receiver."
"As requested by the sender, the package is being held for pickup at a UPS location.",No,pickup,English,"As requested by the sender, the package is being held for pickup at ups location."
"As requested, the package is moving in-bond to a non-UPS off-site broker for clearance. / Brokerage released the package. It will be processed through a clearing agency before final release to UPS.",No,transit,English,"As requested, the package is moving in bond to non ups off site broker for clearance. Brokerage released the package. It will be processed through clearing agency before final release to ups."
"As requested, the UPS My Choice® delivery change was completed. / As requested, the UPS My Choice® package will be delivered to the customer's preferred UPS Access Point™ location.",No,transit,English,"As requested, the ups my choice delivery change was completed. As requested, the ups my choice package will be delivered to the customer's preferred ups access point location."
"As requested, the UPS My Choice® delivery change was completed. / Delivery will be rescheduled.",No,transit,English,"As requested, the ups my choice delivery change was completed. Delivery will be rescheduled."
"As requested, the UPS My Choice® delivery change was completed. / The address was corrected.",No,transit,English,"As requested, the ups my choice delivery change was completed. The address was corrected."
"As requested, the UPS My Choice® delivery change was completed. / The package will be returned to the sender.",No,exception,English,"As requested, the ups my choice delivery change was completed. The package will be returned to the sender."
"As requested, the UPS My Choice® delivery change was completed. / Your delivery has been rescheduled for the next business day.",No,transit,English,"As requested, the ups my choice delivery change was completed. Your delivery has been rescheduled for the next business day."
At destination sort facility ,No,transit,English,At destination sort facility
At local FedEx facility,No,transit,English,At local fedex facility
At local FedEx facility Package not due for delivery,No,exception,English,At local fedex facility package not due for delivery
At local FedEx facility Tendered at FedEx Authorized ShipCenter,No,transit,English,At local fedex facility tendered at fedex authorized shipcenter
At local FedEx facility Tendered at FedEx Facility,No,transit,English,At local fedex facility tendered at fedex facility
At local FedEx facility Tendered at FedEx Office,No,transit,English,At local fedex facility tendered at fedex office
At local FedEx facility Tendered at FedEx OnSite,No,transit,English,At local fedex facility tendered at fedex onsite
"At local FedEx facility,Package not due for delivery",No,exception,English,"At local fedex facility, package not due for delivery"
"At local FedEx facility,Tendered at FedEx Authorized ShipCenter",No,transit,English,"At local fedex facility, tendered at fedex authorized shipcenter"
"At local FedEx facility,Tendered at FedEx Facility",No,transit,English,"At local fedex facility, tendered at fedex facility"
"At local FedEx facility,Tendered at FedEx Office",No,transit,English,"At local fedex facility, tendered at fedex office"
"At local FedEx facility,Tendered at FedEx OnSite",No,transit,English,"At local fedex facility, tendered at fedex onsite"
"At the receiver's request, the UPS My Choice® delivery change option was modified. / Delivery to a UPS Access Point™ location is pending.",No,transit,English,"At the receiver's request, the ups my choice delivery change option was modified. Delivery to ups access point location is pending."
"At the receiver's request, the UPS My Choice® delivery change option was modified. / Package could not be located for intercept.",No,exception,English,"At the receiver's request, the ups my choice delivery change option was modified. Package could not be located for intercept."
"At the receiver's request, the UPS My Choice® delivery change option was modified. / The request for this package was cancelled.",No,exception,English,"At the receiver's request, the ups my choice delivery change option was modified. The request for this package was cancelled."
"At the receiver's request, the UPS My Choice® delivery change option was modified. / Your package will be delivered to an alternate address.",No,transit,English,"At the receiver's request, the ups my choice delivery change option was modified. Your package will be delivered to an alternate address."
Awaiting collection by recipient as requested,No,pickup,English,Awaiting collection by recipient as requested
Awaiting customs clearance instructions/information. We've contacted the receiver to get them.,No,exception,English,Awaiting customs clearance instructions information. We have contacted the receiver to get them.
Awaiting delivery date and time slot agreement with receiver. We've contacted the receiver. ,No,exception,English,Awaiting delivery date and time slot agreement with receiver. We have contacted the receiver.
Awaiting for Declarative Procedures,No,exception,English,Awaiting for declarative procedures
BILLING INFORMATION RECEIVED,No,transit,English,Billing information received
Brokerage released the package. It will be processed through a clearing agency before final release to UPS.,No,transit,English,Brokerage released the package. It will be processed through clearing agency before final release to ups.
Change of delivery address as requested by customer,No,transit,English,Change of delivery address as requested by customer
Clearance delay - Import,No,exception,English,"Clearance delay, import"
Clearance delay - Import A confirmation of the value of goods is required.,No,exception,English,"Clearance delay, import confirmation of the value of goods is required."
Clearance delay - Import A FedEx Systems Outage has delayed release.,No,exception,English,"Clearance delay, import fedex systems outage has delayed release."
Clearance delay - Import Goods are subject to regulatory review.,No,exception,English,"Clearance delay, import goods are subject to regulatory review."
Clearance delay - Import In clearance process.,No,exception,English,"Clearance delay, import in clearance process."
Clearance delay - Import Shipment requires a Commercial Invoice.,No,exception,English,"Clearance delay, import shipment requires commercial invoice."
"Clearance delay - Import Shipment requires importer's registration/identification number for clearance. (Examples include EIN, SSN, VAT, GST, RFC, etc.)",No,exception,English,"Clearance delay, import shipment requires importer's registration identification number for clearance. Examples include ein, ssn, vat, gst, rfc, etc."
"Clearance delay - Import,A confirmation of the value of goods is required.",No,exception,English,"Clearance delay, import, confirmation of the value of goods is required."
"Clearance delay - Import,In clearance process.",No,exception,English,"Clearance delay, import, in clearance process."
"Clearance delay - Import,Shipment requires a Commercial Invoice.",No,exception,English,"Clearance delay, import, shipment requires commercial invoice."
Clearance event,No,transit,English,Clearance event
Clearance in progress ,No,transit,English,Clearance in progress
Clearance processing complete at  AALESUND - NORWAY,No,transit,English,"Clearance processing complete at aalesund, norway"
"Cleared Customs, Your package was released by the customs agency.",No,transit,English,"Cleared customs, your package was released by the customs agency."
Company closed on delivery attempt. Follow-up actions underway,No,exception,English,Company closed on delivery attempt. Follow up actions underway
Connection delay due to customs. Recovery actions underway,No,exception,English,Connection delay due to customs. Recovery actions underway
Consolidated shipment. Individual shipments in transit,No,transit,English,Consolidated shipment. Individual shipments in transit
Customer not in on 1st attempt. Delivery will be made to a UPS Access Point™ next business day for customer pickup.,No,exception,English,Customer not in on 1st attempt. Delivery will be made to ups access point next business day for customer pickup.
Customer not in on 1st attempt. Delivery will be made to a UPS Access Point™ next business day for customer pickup. / The package will be delivered to the UPS Access Point™ location on the next business day.,No,exception,English,Customer not in on 1st attempt. Delivery will be made to ups access point next business day for customer pickup. The package will be delivered to the ups access point location on the next business day.
Customer not there. Follow up actions underway,No,exception,English,Customer not there. Follow up actions underway
Customer was not available on 1st attempt. Delivery will be made to a nearby UPS Access Point™ for customer to pick up.,No,exception,English,Customer was not available on 1st attempt. Delivery will be made to nearby ups access point for customer to pick up.
CUSTOMER WAS NOT AVAILABLE WHEN UPS ATTEMPTED DELIVERY. WILL DELIVER TO A NEARBY UPS ACCESS POINT FOR CUSTOMER PICKUP.,No,pickup,English,Customer was not available when ups attempted delivery. Will deliver to nearby ups access point for customer pickup.
Customer was not available when UPS attempted delivery. Will deliver to a nearby UPS Access Point? for customer pick up.,No,pickup,English,Customer was not available when ups attempted delivery. Will deliver to nearby ups access point for customer pick up.
Customs clearance in progress,No,transit,English,Customs clearance in progress
Customs has approved the goods for import.,No,transit,English,Customs has approved the goods for import.
Customs is requesting clarification on invoice documentation.  Sender or importer validation is required before release. / The package will be returned to the sender.,No,exception,English,Customs is requesting clarification on invoice documentation. Sender or importer validation is required before release. The package will be returned to the sender.
Customs is requesting clarification on invoice documentation.  Sender or importer validation is required before release. / We've contacted the receiver.,No,exception,English,Customs is requesting clarification on invoice documentation. Sender or importer validation is required before release. We have contacted the receiver.
Customs or government agency response delayed,No,exception,English,Customs or government agency response delayed
Customs status updated,No,transit,English,Customs status updated
Delay due to bad weather. Recovery actions underway,No,exception,English,Delay due to bad weather. Recovery actions underway
Delay due to non-TNT industrial action. Recovery actions underway,No,exception,English,Delay due to non tnt industrial action. Recovery actions underway
Delay due to routing error. Recovery actions underway,No,exception,English,Delay due to routing error. Recovery actions underway
Delay due to routing error. We're working hard to deliver on time. ,No,exception,English,Delay due to routing error. We are working hard to deliver on time.
"Deliver to Original Address Completed, The delivery change was completed. / The package will be delivered to the original receiver&#39;s address.",No,transit,English,"Deliver to original address completed, the delivery change was completed. The package will be delivered to the original receiver is address."
Delivered ,No,delivered,English,Delivered
Delivered - Signed for by: 0103502 / ABDULRAHMAN,No,delivered,English,"Delivered, signed for by abdulrahman"
"Delivered Damaged, delivery completed",No,exception,English,"Delivered damaged, delivery completed"
Delivered Delivered to address other than recipient,No,delivered,English,Delivered delivered to address other than recipient
Delivered Left at back door. Package delivered to recipient address - release authorized,No,delivered,English,"Delivered left at back door. Package delivered to recipient address, release authorized"
Delivered Left at front door. Package delivered to recipient address - release authorized,No,delivered,English,"Delivered left at front door. Package delivered to recipient address, release authorized"
Delivered Left at front door. Signature Service not requested.,No,delivered,English,Delivered left at front door. Signature service not requested.
Delivered Left at garage. Package delivered to recipient address - release authorized,No,delivered,English,"Delivered left at garage. Package delivered to recipient address, release authorized"
Delivered Left at side door Package delivered to recipient address - release authorized,No,delivered,English,"Delivered left at side door package delivered to recipient address, release authorized"
Delivered Left on porch. Package delivered to recipient address - release authorized,No,delivered,English,"Delivered left on porch. Package delivered to recipient address, release authorized"
Delivered Package delivered to recipient address - release authorized,No,delivered,English,"Delivered package delivered to recipient address, release authorized"
Delivered Payment received,No,delivered,English,Delivered payment received
Delivered to a non-FedEx clearance broker ,No,transit,English,Delivered to non fedex clearance broker
Delivered to a non-FedEx clearance broker Payment received,No,transit,English,Delivered to non fedex clearance broker payment received
"Delivered to a UPS Access Point, UPS Access Point™ possession ",No,pickup,English,"Delivered to ups access point, ups access point possession"
Delivered to broker as requested,No,transit,English,Delivered to broker as requested
Delivered to UPS Access Point™,No,pickup,English,Delivered to ups access point
Delivered to UPS Access Point™ location and awaiting customer pickup.,No,pickup,English,Delivered to ups access point location and awaiting customer pickup.
"Delivered to your community mailbox, parcel locker or apt./condo mailbox",No,delivered,English,"Delivered to your community mailbox, parcel locker or apt. Condo mailbox"
"Delivered, In/At Mailbox",No,delivered,English,"Delivered, in at mailbox"
"Delivered, Package delivered to recipient address - release authorized",No,delivered,English,"Delivered, package delivered to recipient address, release authorized"
"Delivered,Damaged, delivery completed",No,exception,English,"Delivered, damaged, delivery completed"
"Delivered,Delivered to address other than recipient",No,delivered,English,"Delivered, delivered to address other than recipient"
"Delivered,Left at back door. Package delivered to recipient address - release authorized",No,delivered,English,"Delivered, left at back door. Package delivered to recipient address, release authorized"
"Delivered,Left at front door. Package delivered to recipient address - release authorized",No,delivered,English,"Delivered, left at front door. Package delivered to recipient address, release authorized"
"Delivered,Left at garage. Package delivered to recipient address - release authorized",No,delivered,English,"Delivered, left at garage. Package delivered to recipient address, release authorized"
"Delivered,Left at side door Package delivered to recipient address - release authorized",No,delivered,English,"Delivered, left at side door package delivered to recipient address, release authorized"
"Delivered,Left on porch. Package delivered to recipient address - release authorized",No,delivered,English,"Delivered, left on porch. Package delivered to recipient address, release authorized"
"Delivered,Payment received",No,delivered,English,"Delivered, payment received"
Delivered. ,No,delivered,English,Delivered.
Delivery arranged no details expected,No,transit,English,Delivery arranged no details expected
Delivery attempted - consignee premises closed,No,exception,English,"Delivery attempted, consignee premises closed"
"Delivery Attempted, Customer was not available when UPS attempted delivery. Will deliver to a nearby UPS Access Point™ for customer pick up.",No,pickup,English,"Delivery attempted, customer was not available when ups attempted delivery. Will deliver to nearby ups access point for customer pick up."
"Delivery Attempted, Our driver requires security access for this delivery. We are attempting to obtain the access information. / The package will be returned to the sender.",No,exception,English,"Delivery attempted, our driver requires security access for this delivery. We are attempting to obtain the access information. The package will be returned to the sender."
Delivery attempted; recipient not home,No,exception,English,Delivery attempted recipient not home
Delivery by mail. Delivery confirmation available on request,No,delivered,English,Delivery by mail. Delivery confirmation available on request
Delivery by mail. Delivery confirmation unavailable,No,delivered,English,Delivery by mail. Delivery confirmation unavailable
Delivery date and time slot agreed with receiver,No,transit,English,Delivery date and time slot agreed with receiver
Delivery exception Business closed - No delivery attempt,No,exception,English,"Delivery exception business closed, no delivery attempt"
Delivery exception Customer not available or business closed,No,exception,English,Delivery exception customer not available or business closed
Delivery exception Customer not available or business closed - Access is controlled by customer,No,exception,English,"Delivery exception customer not available or business closed, access is controlled by customer"
Delivery exception Future delivery requested,No,exception,English,Delivery exception future delivery requested
"Delivery exception Held, unable to collect payment",No,exception,English,"Delivery exception held, unable to collect payment"
Delivery exception Incorrect address,No,exception,English,Delivery exception incorrect address
Delivery exception Incorrect address - Apartment/Suite number,No,exception,English,"Delivery exception incorrect address, apartment suite number"
Delivery exception Incorrect address - Recipient moved,No,exception,English,"Delivery exception incorrect address, recipient moved"
Delivery exception Incorrect address - Street name/number,No,exception,English,"Delivery exception incorrect address, street name number"
Delivery exception Incorrect address - Zip/Postal code,No,exception,English,"Delivery exception incorrect address, zip postal code"
"Delivery exception Local delivery restriction, delivery not attempted",No,exception,English,"Delivery exception local delivery restriction, delivery not attempted"
"Delivery exception Package at station, arrived after courier dispatch",No,exception,English,"Delivery exception package at station, arrived after courier dispatch"
Delivery exception Recipient location security delay. Delivery will be reattempted.,No,exception,English,Delivery exception recipient location security delay. Delivery will be reattempted.
Delivery exception Refused by recipient,No,exception,English,Delivery exception refused by recipient
Delivery exception Rerouted to revised delivery address,No,transit,English,Delivery exception rerouted to revised delivery address
Delivery exception Retrieved shipment,No,exception,English,Delivery exception retrieved shipment
Delivery exception Unable to hold at location for recipient pickup,No,exception,English,Delivery exception unable to hold at location for recipient pickup
"Delivery exception,Business closed - No delivery attempt",No,exception,English,"Delivery exception, business closed, no delivery attempt"
"Delivery exception,Customer not available or business closed",No,exception,English,"Delivery exception, customer not available or business closed"
"Delivery exception,Customer not available or business closed - Access is controlled by customer",No,exception,English,"Delivery exception, customer not available or business closed, access is controlled by customer"
"Delivery exception,Future delivery requested",No,exception,English,"Delivery exception, future delivery requested"
"Delivery exception,Held, unable to collect payment",No,exception,English,"Delivery exception, held, unable to collect payment"
"Delivery exception,Incorrect address",No,exception,English,"Delivery exception, incorrect address"
"Delivery exception,Incorrect address - Apartment/Suite number",No,exception,English,"Delivery exception, incorrect address, apartment suite number"
"Delivery exception,Incorrect address - Recipient moved",No,exception,English,"Delivery exception, incorrect address, recipient moved"
"Delivery exception,Incorrect address - Street name/number",No,exception,English,"Delivery exception, incorrect address, street name number"
"Delivery exception,Incorrect address - Zip/Postal code",No,exception,English,"Delivery exception, incorrect address, zip postal code"
"Delivery exception,Local delivery restriction, delivery not attempted",No,exception,English,"Delivery exception, local delivery restriction, delivery not attempted"
"Delivery exception,Package at station, arrived after courier dispatch",No,exception,English,"Delivery exception, package at station, arrived after courier dispatch"
